2018-01-27 07:33:19
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      1.00E-05
Batch size:                         64
Memory size(replay):                1200000
Pretrained:                         False
Pretrained subnet 1:                modelParams/Breakout_final.model
Pretrained subnet 2:                modelParams/SpaceInvaders_final.model
Started training after k frames:    50000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
--------+-----------+----------------------+----------------------+----------------------+--------------------
     50 |      9178 |     (   7.5/   47.4) |     (   1.1/    1.1) |     (   6.5/   46.3) |  (  13.0/   109.0)
    100 |     18541 |     (   7.3/   43.0) |     (   1.1/    1.1) |     (   6.2/   41.9) |  (  14.0/   129.0)
    150 |     27850 |     (   7.0/   41.2) |     (   1.1/    1.1) |     (   5.9/   40.1) |  (  15.0/   129.0)
    200 |     37180 |     (   7.6/   54.7) |     (   1.0/    1.0) |     (   6.6/   53.7) |  (  15.0/   309.0)
    250 |     46648 |     (   7.6/   45.7) |     (   1.1/    1.1) |     (   6.5/   44.6) |  (  15.0/   309.0)
    300 |     56486 |     (   7.7/   47.5) |     (   1.3/    1.3) |     (   6.4/   46.2) |  (  15.0/   309.0)
    350 |     65600 |     (   7.3/   42.5) |     (   1.0/    1.0) |     (   6.3/   41.5) |  (  15.0/   309.0)
    400 |     74828 |     (   7.8/   48.7) |     (   1.2/    1.2) |     (   6.5/   47.5) |  (  17.0/   309.0)
    450 |     84324 |     (   7.4/   44.6) |     (   1.3/    1.3) |     (   6.1/   43.3) |  (  17.0/   309.0)
    500 |     93027 |     (   7.5/   46.3) |     (   1.0/    1.0) |     (   6.5/   45.3) |  (  17.0/   309.0)
Saved model at episode 500...
    550 |    102190 |     (   7.8/   48.7) |     (   1.2/    1.2) |     (   6.6/   47.5) |  (  17.0/   309.0)
    600 |    111490 |     (   7.6/   46.5) |     (   1.3/    1.3) |     (   6.4/   45.2) |  (  17.0/   309.0)
    650 |    120711 |     (   7.7/   46.1) |     (   1.3/    1.2) |     (   6.4/   44.9) |  (  17.0/   309.0)
    700 |    130941 |     (   8.8/   60.3) |     (   1.6/    1.6) |     (   7.1/   58.7) |  (  17.0/   309.0)
    750 |    139954 |     (   7.6/   47.3) |     (   1.2/    1.1) |     (   6.4/   46.2) |  (  17.0/   309.0)
    800 |    149879 |     (   9.0/   64.2) |     (   1.6/    1.6) |     (   7.5/   62.6) |  (  17.0/   309.0)
    850 |    159012 |     (   8.6/   60.7) |     (   1.3/    1.3) |     (   7.3/   59.4) |  (  17.0/   309.0)
    900 |    168909 |     (   9.2/   66.2) |     (   1.5/    1.5) |     (   7.7/   64.7) |  (  17.0/   309.0)
    950 |    177828 |     (   8.0/   56.2) |     (   1.0/    1.0) |     (   7.0/   55.2) |  (  17.0/   309.0)
   1000 |    187223 |     (   8.6/   61.8) |     (   1.3/    1.4) |     (   7.3/   60.4) |  (  17.0/   309.0)
Saved model at episode 1000...
   1050 |    196959 |     (   9.3/   63.7) |     (   1.5/    1.5) |     (   7.8/   62.2) |  (  18.0/   309.0)
   1100 |    207337 |     (   9.7/   70.2) |     (   1.8/    1.8) |     (   7.9/   68.4) |  (  22.0/   309.0)
   1150 |    217215 |     (   9.6/   66.9) |     (   1.7/    1.7) |     (   7.9/   65.2) |  (  22.0/   309.0)
   1200 |    226942 |     (   9.4/   66.4) |     (   1.5/    1.5) |     (   7.9/   64.9) |  (  22.0/   309.0)
