2018-01-28 10:06:58
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      1.00E-06
Batch size:                         64
Memory size(replay):                1500000
Pretrained:                         True
Pretrained subnet 1:                None
Pretrained subnet 2:                None
Started training after k frames:    750000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
--------+-----------+----------------------+----------------------+----------------------+--------------------
     50 |     25078 |     (  31.9/  329.1) |     (  10.5/   11.5) |     (  21.4/  317.6) |  (  55.0/   641.0)
    100 |     47451 |     (  28.2/  299.7) |     (   8.7/    9.6) |     (  19.5/  290.1) |  (  55.0/   673.0)
    150 |     71384 |     (  29.8/  308.7) |     (   9.6/   10.6) |     (  20.2/  298.1) |  (  55.0/   673.0)
    200 |     96694 |     (  31.5/  329.3) |     (  10.9/   12.0) |     (  20.6/  317.3) |  (  55.0/   778.0)
    250 |    119887 |     (  29.0/  284.1) |     (   9.1/    9.6) |     (  19.8/  274.5) |  (  55.0/   778.0)
    300 |    144204 |     (  30.5/  317.6) |     (  10.2/   11.3) |     (  20.4/  306.3) |  (  55.0/   778.0)
    350 |    167822 |     (  31.1/  310.2) |     (   9.6/   10.6) |     (  21.4/  299.6) |  (  55.0/   778.0)
    400 |    191892 |     (  30.0/  318.8) |     (   9.8/   11.3) |     (  20.2/  307.5) |  (  55.0/   795.0)
    450 |    215582 |     (  29.7/  316.3) |     (   9.7/   11.3) |     (  20.0/  305.0) |  (  55.0/   795.0)
    500 |    239605 |     (  29.5/  288.3) |     (   9.8/   11.2) |     (  19.7/  277.1) |  (  55.0/   795.0)
Saved model at episode 500...
    550 |    262423 |     (  28.5/  291.3) |     (   9.0/    9.8) |     (  19.5/  281.5) |  (  55.0/   795.0)
    600 |    285580 |     (  28.6/  276.6) |     (   9.2/   10.0) |     (  19.4/  266.6) |  (  55.0/   795.0)
    650 |    310340 |     (  31.4/  327.6) |     (  10.1/   11.3) |     (  21.3/  316.3) |  (  55.0/   795.0)
    700 |    335070 |     (  31.7/  335.6) |     (  10.1/   10.9) |     (  21.6/  324.7) |  (  56.0/   795.0)
    750 |    358580 |     (  29.3/  307.6) |     (   9.4/   10.2) |     (  19.9/  297.4) |  (  59.0/   820.0)
    800 |    382113 |     (  29.0/  286.4) |     (   9.5/   11.3) |     (  19.5/  275.1) |  (  59.0/   820.0)
    850 |    405822 |     (  29.7/  311.5) |     (   9.5/   10.7) |     (  20.2/  300.8) |  (  59.0/   820.0)
    900 |    430720 |     (  30.5/  293.3) |     (  10.2/   11.5) |     (  20.3/  281.8) |  (  66.0/   820.0)
    950 |    453817 |     (  28.5/  289.2) |     (   9.1/    9.8) |     (  19.4/  279.4) |  (  66.0/   820.0)
   1000 |    476831 |     (  28.9/  285.9) |     (   9.2/   10.4) |     (  19.6/  275.5) |  (  66.0/   833.0)
Saved model at episode 1000...
   1050 |    499496 |     (  27.5/  283.6) |     (   9.0/    9.7) |     (  18.5/  273.9) |  (  66.0/   833.0)
   1100 |    524179 |     (  31.0/  298.8) |     (  10.3/   10.9) |     (  20.7/  287.9) |  (  66.0/   833.0)
   1150 |    548346 |     (  29.2/  291.0) |     (   9.9/   11.3) |     (  19.2/  279.7) |  (  66.0/   833.0)
   1200 |    572186 |     (  29.4/  303.2) |     (   9.5/   10.8) |     (  19.9/  292.4) |  (  66.0/   833.0)
   1250 |    595551 |     (  28.6/  297.5) |     (   9.4/   10.1) |     (  19.2/  287.4) |  (  66.0/   853.0)
   1300 |    619060 |     (  29.1/  295.5) |     (   9.4/   10.6) |     (  19.7/  284.9) |  (  66.0/   853.0)
   1350 |    642781 |     (  29.9/  306.1) |     (   9.7/   11.5) |     (  20.2/  294.6) |  (  66.0/   853.0)
   1400 |    667278 |     (  30.6/  319.1) |     (  10.2/   11.1) |     (  20.4/  308.0) |  (  66.0/   853.0)
   1450 |    689809 |     (  28.6/  290.0) |     (   9.2/    9.9) |     (  19.4/  280.1) |  (  66.0/   853.0)
   1500 |    713457 |     (  29.7/  317.4) |     (   9.6/   10.7) |     (  20.1/  306.7) |  (  66.0/   853.0)
Saved model at episode 1500...
   1550 |    736022 |     (  28.3/  286.8) |     (   8.6/    9.3) |     (  19.7/  277.5) |  (  66.0/   853.0)
   1600 |    761334 |     (  31.5/  320.9) |     (  11.0/   12.3) |     (  20.5/  308.6) |  (  66.0/   853.0)
   1650 |    789203 |     (  35.3/  366.5) |     (  12.4/   14.0) |     (  22.9/  352.5) |  (  66.0/   853.0)
   1700 |    818459 |     (  36.6/  371.7) |     (  13.3/   15.5) |     (  23.2/  356.2) |  (  66.0/   853.0)
   1750 |    847941 |     (  37.2/  359.5) |     (  13.7/   15.1) |     (  23.5/  344.4) |  (  66.0/   853.0)
   1800 |    875599 |     (  35.3/  359.8) |     (  12.5/   13.7) |     (  22.7/  346.1) |  (  66.0/   853.0)
   1850 |    905469 |     (  38.6/  388.7) |     (  13.8/   16.4) |     (  24.8/  372.3) |  (  66.0/   853.0)
   1900 |    934872 |     (  36.9/  365.3) |     (  13.3/   15.4) |     (  23.6/  349.9) |  (  66.0/   853.0)
   1950 |    965296 |     (  41.0/  415.3) |     (  14.4/   15.9) |     (  26.7/  399.4) |  (  66.0/   853.0)
   2000 |    994338 |     (  37.4/  395.1) |     (  13.6/   14.3) |     (  23.8/  380.8) |  (  66.0/   853.0)
Saved model at episode 2000...
   2050 |   1021568 |     (  36.6/  379.4) |     (  12.5/   13.9) |     (  24.1/  365.5) |  (  66.0/   853.0)
   2100 |   1048855 |     (  36.3/  375.3) |     (  12.6/   12.9) |     (  23.7/  362.4) |  (  66.0/   853.0)
   2150 |   1079660 |     (  40.9/  402.2) |     (  15.1/   16.2) |     (  25.9/  386.0) |  (  66.0/   866.0)
   2200 |   1109020 |     (  38.7/  388.3) |     (  13.5/   14.9) |     (  25.2/  373.4) |  (  66.0/   866.0)
   2250 |   1139089 |     (  40.2/  423.6) |     (  14.1/   16.3) |     (  26.1/  407.3) |  (  66.0/   866.0)
   2300 |   1170572 |     (  41.7/  415.7) |     (  15.2/   17.5) |     (  26.5/  398.2) |  (  66.0/   866.0)
   2350 |   1202123 |     (  41.5/  441.4) |     (  15.3/   17.2) |     (  26.2/  424.2) |  (  66.0/   866.0)
   2400 |   1233754 |     (  42.9/  450.5) |     (  15.2/   17.5) |     (  27.7/  433.0) |  (  66.0/   866.0)
   2450 |   1265625 |     (  42.9/  436.0) |     (  15.2/   17.6) |     (  27.7/  418.4) |  (  72.0/   866.0)
   2500 |   1298022 |     (  44.4/  442.4) |     (  16.2/   18.6) |     (  28.2/  423.8) |  (  72.0/   866.0)
Saved model at episode 2500...
   2550 |   1332218 |     (  45.3/  490.0) |     (  17.0/   20.3) |     (  28.3/  469.7) |  (  75.0/   990.0)
   2600 |   1364249 |     (  42.8/  431.5) |     (  15.7/   17.9) |     (  27.1/  413.6) |  (  75.0/   990.0)
   2650 |   1397646 |     (  45.9/  485.6) |     (  16.5/   19.5) |     (  29.4/  466.1) |  (  75.0/  1101.0)
   2700 |   1429326 |     (  43.5/  435.2) |     (  15.8/   18.6) |     (  27.7/  416.6) |  (  75.0/  1101.0)
   2750 |   1464561 |     (  47.6/  537.7) |     (  17.7/   21.9) |     (  29.9/  515.8) |  (  75.0/  1101.0)
   2800 |   1498193 |     (  45.1/  484.0) |     (  16.4/   18.8) |     (  28.8/  465.2) |  (  75.0/  1101.0)
   2850 |   1534384 |     (  48.6/  486.9) |     (  18.1/   21.1) |     (  30.5/  465.8) |  (  75.0/  1101.0)
   2900 |   1568982 |     (  47.0/  487.1) |     (  17.1/   19.8) |     (  29.9/  467.3) |  (  83.0/  1101.0)
   2950 |   1603396 |     (  46.4/  493.3) |     (  17.2/   20.8) |     (  29.1/  472.5) |  (  83.0/  1101.0)
   3000 |   1639878 |     (  49.4/  540.1) |     (  18.4/   21.2) |     (  31.1/  518.9) |  (  83.0/  1101.0)
Saved model at episode 3000...
   3050 |   1673011 |     (  44.1/  452.1) |     (  16.2/   19.0) |     (  27.9/  433.1) |  (  83.0/  1101.0)
   3100 |   1707251 |     (  47.2/  522.0) |     (  17.1/   21.9) |     (  30.2/  500.1) |  (  83.0/  1101.0)
   3150 |   1743348 |     (  49.1/  524.2) |     (  18.2/   21.8) |     (  30.9/  502.4) |  (  83.0/  1101.0)
   3200 |   1777885 |     (  47.9/  497.7) |     (  17.3/   21.3) |     (  30.6/  476.4) |  (  83.0/  1101.0)
   3250 |   1814406 |     (  51.0/  537.4) |     (  18.8/   22.4) |     (  32.3/  515.0) |  (  83.0/  1101.0)
   3300 |   1852220 |     (  51.7/  564.4) |     (  19.4/   23.1) |     (  32.4/  541.3) |  (  83.0/  1101.0)
   3350 |   1889230 |     (  50.4/  530.7) |     (  18.9/   23.9) |     (  31.5/  506.8) |  (  83.0/  1101.0)
   3400 |   1925145 |     (  49.5/  522.3) |     (  18.3/   22.6) |     (  31.2/  499.7) |  (  83.0/  1101.0)
   3450 |   1963618 |     (  50.9/  510.5) |     (  19.8/   24.4) |     (  31.1/  486.1) |  (  83.0/  1101.0)
   3500 |   2000199 |     (  49.7/  532.0) |     (  18.3/   22.2) |     (  31.4/  509.8) |  (  83.0/  1101.0)
Saved model at episode 3500...
   3550 |   2037867 |     (  50.6/  521.9) |     (  19.1/   23.7) |     (  31.5/  498.2) |  (  86.0/  1101.0)
   3600 |   2073908 |     (  48.8/  512.9) |     (  17.9/   21.0) |     (  30.8/  491.9) |  (  86.0/  1101.0)
   3650 |   2113440 |     (  53.2/  585.0) |     (  19.5/   24.5) |     (  33.7/  560.5) |  (  89.0/  1101.0)
   3700 |   2151192 |     (  51.3/  547.6) |     (  18.9/   22.7) |     (  32.4/  524.9) |  (  89.0/  1101.0)
   3750 |   2187668 |     (  49.3/  505.6) |     (  19.0/   23.3) |     (  30.3/  482.3) |  (  89.0/  1101.0)
   3800 |   2225399 |     (  51.6/  551.5) |     (  19.3/   23.8) |     (  32.3/  527.7) |  (  89.0/  1101.0)
   3850 |   2261570 |     (  49.2/  517.2) |     (  18.3/   21.4) |     (  30.9/  495.8) |  (  89.0/  1101.0)
   3900 |   2301687 |     (  54.7/  572.6) |     (  20.8/   25.1) |     (  33.9/  547.5) |  (  89.0/  1101.0)
   3950 |   2341414 |     (  53.4/  550.2) |     (  21.0/   25.0) |     (  32.4/  525.2) |  (  89.0/  1101.0)
   4000 |   2380719 |     (  54.0/  560.5) |     (  20.7/   25.3) |     (  33.3/  535.2) |  (  89.0/  1101.0)
Saved model at episode 4000...
   4050 |   2421173 |     (  54.6/  568.4) |     (  21.4/   26.0) |     (  33.2/  542.4) |  (  89.0/  1101.0)
