2018-01-28 22:44:48
Trained game (first):               SpaceInvaders
Trained game (second):              Phoenix
Learning rate:                      1.00E-05
Batch size:                         64
Memory size(replay):                1000000
Pretrained:                         True
Pretrained subnet 1:                None
Pretrained subnet 2:                None
Started training after k frames:    500000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
--------+-----------+----------------------+----------------------+----------------------+--------------------
     50 |     33508 |     (  45.1/ 1689.0) |     (  22.4/  370.6) |     (  22.8/ 1318.4) |  (  80.0/  4655.0)
    100 |     66606 |     (  45.3/ 1758.0) |     (  22.0/  360.6) |     (  23.3/ 1397.4) |  (  80.0/  4655.0)
    150 |     99664 |     (  44.7/ 1577.8) |     (  22.6/  361.4) |     (  22.0/ 1216.4) |  (  80.0/  4655.0)
    200 |    133759 |     (  44.5/ 1480.4) |     (  22.8/  356.4) |     (  21.7/ 1124.0) |  (  80.0/  4915.0)
    250 |    167585 |     (  45.8/ 1615.6) |     (  24.0/  374.2) |     (  21.9/ 1241.4) |  (  80.0/  4915.0)
    300 |    201879 |     (  45.5/ 1688.3) |     (  23.1/  380.5) |     (  22.4/ 1307.8) |  (  80.0/  4915.0)
    350 |    234353 |     (  44.0/ 1457.3) |     (  22.5/  364.5) |     (  21.5/ 1092.8) |  (  80.0/  4915.0)
    400 |    267958 |     (  45.0/ 1635.8) |     (  23.0/  362.2) |     (  22.1/ 1273.6) |  (  80.0/  4915.0)
    450 |    300153 |     (  44.0/ 1549.5) |     (  22.3/  350.7) |     (  21.7/ 1198.8) |  (  80.0/  4915.0)
    500 |    333372 |     (  44.2/ 1586.3) |     (  21.9/  338.3) |     (  22.3/ 1248.0) |  (  80.0/  4915.0)
Saved model at episode 500...
    550 |    366631 |     (  45.3/ 1619.2) |     (  22.9/  370.2) |     (  22.4/ 1249.0) |  (  80.0/  4915.0)
    600 |    400690 |     (  45.2/ 1661.7) |     (  22.7/  364.3) |     (  22.5/ 1297.4) |  (  80.0/  4915.0)
    650 |    434669 |     (  45.8/ 1689.3) |     (  22.9/  374.5) |     (  22.9/ 1314.8) |  (  80.0/  4915.0)
    700 |    468538 |     (  45.4/ 1576.1) |     (  23.5/  376.1) |     (  21.9/ 1200.0) |  (  80.0/  4915.0)
    750 |    502838 |     (  46.6/ 1713.4) |     (  23.5/  384.2) |     (  23.1/ 1329.2) |  (  80.0/  5135.0)
    800 |    538859 |     (  48.2/ 1901.4) |     (  24.4/  390.2) |     (  23.8/ 1511.2) |  (  80.0/  5135.0)
    850 |    572170 |     (  45.8/ 1725.9) |     (  22.8/  361.3) |     (  23.0/ 1364.6) |  (  80.0/  5135.0)
    900 |    608938 |     (  49.8/ 2003.8) |     (  25.3/  404.8) |     (  24.4/ 1599.0) |  (  80.0/  5135.0)
    950 |    643580 |     (  48.6/ 1947.2) |     (  24.0/  382.4) |     (  24.6/ 1564.8) |  (  80.0/  5240.0)
   1000 |    679094 |     (  48.5/ 1930.6) |     (  24.3/  393.6) |     (  24.2/ 1537.0) |  (  80.0/  5240.0)
Saved model at episode 1000...
   1050 |    714905 |     (  47.7/ 1747.7) |     (  25.6/  418.5) |     (  22.0/ 1329.2) |  (  80.0/  5240.0)
   1100 |    749939 |     (  48.3/ 1855.9) |     (  24.7/  406.1) |     (  23.6/ 1449.8) |  (  80.0/  5240.0)
   1150 |    784985 |     (  50.0/ 1923.4) |     (  25.7/  417.8) |     (  24.3/ 1505.6) |  (  80.0/  5240.0)
   1200 |    822793 |     (  53.4/ 2303.2) |     (  26.9/  441.6) |     (  26.5/ 1861.6) |  (  80.0/  5240.0)
   1250 |    860356 |     (  53.8/ 2351.5) |     (  26.8/  440.9) |     (  26.9/ 1910.6) |  (  96.0/  5425.0)
   1300 |    898806 |     (  54.1/ 2520.4) |     (  27.2/  441.8) |     (  26.9/ 2078.6) |  (  96.0/  5835.0)
   1350 |    938826 |     (  55.4/ 2456.2) |     (  28.4/  482.2) |     (  27.0/ 1974.0) |  (  96.0/  5835.0)
   1400 |    979608 |     (  56.0/ 2567.6) |     (  29.6/  501.6) |     (  26.4/ 2066.0) |  (  96.0/  5835.0)
   1450 |   1017856 |     (  52.6/ 2194.2) |     (  27.5/  463.8) |     (  25.1/ 1730.4) |  (  96.0/  5835.0)
   1500 |   1056163 |     (  55.0/ 2416.1) |     (  27.4/  443.1) |     (  27.5/ 1973.0) |  (  96.0/  5835.0)
Saved model at episode 1500...
   1550 |   1093220 |     (  51.8/ 2072.1) |     (  27.0/  447.5) |     (  24.8/ 1624.6) |  (  96.0/  5835.0)
   1600 |   1131529 |     (  52.5/ 2280.3) |     (  26.8/  431.5) |     (  25.7/ 1848.8) |  (  96.0/  5835.0)
   1650 |   1169574 |     (  53.5/ 2320.8) |     (  26.8/  442.8) |     (  26.7/ 1878.0) |  (  96.0/  5835.0)
   1700 |   1207191 |     (  53.0/ 2238.4) |     (  26.9/  439.0) |     (  26.1/ 1799.4) |  (  96.0/  5835.0)
   1750 |   1247169 |     (  54.9/ 2532.7) |     (  27.9/  454.5) |     (  27.0/ 2078.2) |  (  96.0/  5835.0)
   1800 |   1285813 |     (  53.5/ 2331.2) |     (  27.2/  463.0) |     (  26.3/ 1868.2) |  (  96.0/  5835.0)
